entity_id,business_name,business_address,country,business_name_clean,business_address_clean,country_clean,name_core,address_clean,address_numbers,name_tokens,address_tokens,name_length,address_length,name_word_count,address_word_count,name_first_char,name_missing,address_missing,country_missing
S1-925783039,Orelee's Barbershop,"1795 Westchester Drive, High Point, NC",US,orelee s barbershop,1795 westchester drive high point nc,us,orelee s barbershop,1795 westchester drive high point nc,1795,barbershop orelee s,1795 drive high nc point westchester,19,36,3,6,o,0,0,0
S1-773889195,Prime Money,"17560 Ellis Road, Tahlequah, OK",US,prime money,17560 ellis road tahlequah ok,us,prime money,17560 ellis road tahlequah ok,17560,money prime,17560 ellis ok road tahlequah,11,29,2,5,p,0,0,0
S1-377745466,B+ Retail Inc,"1712 Montebello Avenue, Phoenix, AZ",US,b retail inc,1712 montebello avenue phoenix az,us,b retail,1712 montebello avenue phoenix az,1712,b inc retail,1712 avenue az montebello phoenix,12,33,3,5,b,0,0,0
S1-133037285,Christ Chapel,"2100 Cameron Drive, Unit APARTMENT G, Dundalk, MD",US,christ chapel,2100 cameron drive unit apartment g dundalk md,us,christ chapel,2100 cameron drive unit apartment g dundalk md,2100,chapel christ,2100 apartment cameron drive dundalk g md unit,13,46,2,8,c,0,0,0
S1-755362802,Prabhav Business Center,"797, Lake Town Block A, Kolkata, Howrah, West Bengal",India,prabhav business center,797 lake town block a kolkata howrah west bengal,india,prabhav business center,797 lake town block a kolkata howrah west bengal,797,business center prabhav,797 a bengal block howrah kolkata lake town west,23,48,3,9,p,0,0,0
S1-851869949,Custom Wealth Services LLC,"OH, Columbus, 5559 Orville Avenue",US,custom wealth services llc,oh columbus 5559 orville avenue,us,custom wealth services,oh columbus 5559 orville avenue,5559,custom llc services wealth,5559 avenue columbus oh orville,26,31,4,5,c,0,0,0
S1-785847572,Consulting Nyasa Nursing Private Limited,"2505, Tower 1, Oakwood, Runwal Greens, Mulund Goreagon Link Road, Near Fortis Hospital, Bhandup West, Mumbai, Maharashtra",India,consulting nyasa nursing private limited,2505 tower 1 oakwood runwal greens mulund goreagon link road near fortis hospital bhandup west mumbai maharashtra,india,consulting nyasa nursing,2505 tower 1 oakwood runwal greens mulund goreagon link road near fortis hospital bhandup west mumbai maharashtra,2505 1,consulting limited nursing nyasa private,1 2505 bhandup fortis goreagon greens hospital link maharashtra mulund mumbai near oakwood road runwal tower west,40,113,5,17,c,0,0,0
S1-27541239,Nexus Anchor Rain,"1111 Church Street, Unit 2007, Nashville, TN",US,nexus anchor rain,1111 church street unit 2007 nashville tn,us,nexus anchor rain,1111 church street unit 2007 nashville tn,1111 2007,anchor nexus rain,1111 2007 church nashville street tn unit,17,41,3,7,n,0,0,0
S1-629417405,Moore Bitwise Inc,"337 Oakland Avenue, Michigan City, IN",US,moore bitwise inc,337 oakland avenue michigan city in,us,moore bitwise,337 oakland avenue michigan city in,337,bitwise inc moore,337 avenue city in michigan oakland,17,35,3,6,m,0,0,0
S1-22305073,Dermatology Green Medicine,"294 Meadowcreek Drive, Unit Unit 2, Village Of Pewaukee, WI",US,dermatology green medicine,294 meadowcreek drive unit unit 2 village of pewaukee wi,us,dermatology green medicine,294 meadowcreek drive unit unit 2 village of pewaukee wi,294 2,dermatology green medicine,2 294 drive meadowcreek of pewaukee unit unit village wi,26,56,3,10,d,0,0,0
S1-504790211,Crystal Lending PC,"11643 Prosperity Road, South Jordan, UT",US,crystal lending pc,11643 prosperity road south jordan ut,us,crystal lending,11643 prosperity road south jordan ut,11643,crystal lending pc,11643 jordan prosperity road south ut,18,37,3,6,c,0,0,0
S1-564729135,Dream Construction Limited,"H.No.16-11-23/37/A, 2Nd Floor, Flat No.207, Sagar Hotel Building, Opp.Rta Office, Mo, Osarambagh, Hyderabad, Telangana",India,dream construction limited,h no 16 11 23 37 a 2nd floor flat no 207 sagar hotel building opp rta office mo osarambagh hyderabad telangana,india,dream construction,h no 16 11 23 37 a 2nd floor flat no 207 sagar hotel building opp rta office mo osarambagh hyderabad telangana,16 11 23 37 2 207,construction dream limited,11 16 207 23 2nd 37 a building flat floor h hotel hyderabad mo no no office opp osarambagh rta sagar telangana,26,110,3,22,d,0,0,0
S1-236312382,"Kelly Advisory, Inc","301 1st Street, Chokio, MN",US,kelly advisory inc,301 1st street chokio mn,us,kelly advisory,301 1st street chokio mn,301 1,advisory inc kelly,1st 301 chokio mn street,18,24,3,5,k,0,0,0
S1-865131206,Helios,"66 Edgewood Street, Bridgeport, CT",US,helios,66 edgewood street bridgeport ct,us,helios,66 edgewood street bridgeport ct,66,helios,66 bridgeport ct edgewood street,6,32,1,5,h,0,0,0
S1-626914593,Unified Choice Dynamix,"Unit BUILDING 3030, MD, 2701 Eastern Boulevard, Middle River",US,unified choice dynamix,unit building 3030 md 2701 eastern boulevard middle river,us,unified choice dynamix,unit building 3030 md 2701 eastern boulevard middle river,3030 2701,choice dynamix unified,2701 3030 boulevard building eastern md middle river unit,22,57,3,9,u,0,0,0
S1-765734254,Health Fellowship Partners,"601 Oleander Circle, Virginia Beach City, VA",US,health fellowship partners,601 oleander circle virginia beach city va,us,health fellowship partners,601 oleander circle virginia beach city va,601,fellowship health partners,601 beach circle city oleander va virginia,26,42,3,7,h,0,0,0
S1-82053739,Smart Healthcare Private Limited,"303, 3Rd Floor Sakar 5 B/H Natraj Cinema Ashram Road, Ahmedabad, Gujarat",India,smart healthcare private limited,303 3rd floor sakar 5 b h natraj cinema ashram road ahmedabad gujarat,india,smart healthcare,303 3rd floor sakar 5 b h natraj cinema ashram road ahmedabad gujarat,303 3 5,healthcare limited private smart,303 3rd 5 ahmedabad ashram b cinema floor gujarat h natraj road sakar,32,69,4,13,s,0,0,0
S1-309349399,Callicoat & Dailey Inc,"Charlotte, NC, 833 Reliance Street",US,callicoat and dailey inc,charlotte nc 833 reliance street,us,callicoat and dailey,charlotte nc 833 reliance street,833,and callicoat dailey inc,833 charlotte nc reliance street,24,32,4,5,c,0,0,0
S1-221443075,Iris Advisors,"House No-777 Raghubir Bhawanmadan Pur Khadar Sarita Vihar, Delhi, South Delhi, Delhi",India,iris advisors,house no 777 raghubir bhawanmadan pur khadar sarita vihar delhi south delhi delhi,india,iris advisors,house no 777 raghubir bhawanmadan pur khadar sarita vihar delhi south delhi delhi,777,advisors iris,777 bhawanmadan delhi delhi delhi house khadar no pur raghubir sarita south vihar,13,81,2,13,i,0,0,0
S1-341506266,Secunderabad Park Private Limited,"Secunderabad, Hyderabad, Plot No.53, Flat No.402, Sr Estate-I Rainbow Colony, Ammuguda, Sainikpuri, Telangana, # 53/1",India,secunderabad park private limited,secunderabad hyderabad plot no 53 flat no 402 sr estate i rainbow colony ammuguda sainikpuri telangana 53 1,india,secunderabad park,secunderabad hyderabad plot no 53 flat no 402 sr estate i rainbow colony ammuguda sainikpuri telangana 53 1,53 402 53 1,limited park private secunderabad,1 402 53 53 ammuguda colony estate flat hyderabad i no no plot rainbow sainikpuri secunderabad sr telangana,33,107,4,18,s,0,0,0
S1-990319941,Holy Synagogue,"Sapulpa, OK, 2204 Park Street",US,holy synagogue,sapulpa ok 2204 park street,us,holy synagogue,sapulpa ok 2204 park street,2204,holy synagogue,2204 ok park sapulpa street,14,27,2,5,h,0,0,0
S1-597762257,Green Logistics Private Limited,"E-7, Second Floor, New Delhi, South Delhi, Delhi",India,green logistics private limited,e 7 second floor new delhi south delhi delhi,india,green logistics,e 7 second floor new delhi south delhi delhi,7,green limited logistics private,7 delhi delhi delhi e floor new second south,31,44,4,9,g,0,0,0
S1-661315962,Scott Eagle Inc,"4828 Hedges Avenue, Kansas City, MO",US,scott eagle inc,4828 hedges avenue kansas city mo,us,scott eagle,4828 hedges avenue kansas city mo,4828,eagle inc scott,4828 avenue city hedges kansas mo,15,33,3,6,s,0,0,0
S1-716574008,Rajani Enterprises of Kannur,"46/1106, Dhanalakshmi Road, Near Amani Auditorium, Kannur, Kerala",India,rajani enterprises of kannur,46 1106 dhanalakshmi road near amani auditorium kannur kerala,india,rajani enterprises of kannur,46 1106 dhanalakshmi road near amani auditorium kannur kerala,46 1106,enterprises kannur of rajani,1106 46 amani auditorium dhanalakshmi kannur kerala near road,28,61,4,9,r,0,0,0
S1-985038901,"Schaefer, Michael and Silver Associates","32876 Circle Drive, Millsboro, DE",US,schaefer michael and silver associates,32876 circle drive millsboro de,us,schaefer michael and silver associates,32876 circle drive millsboro de,32876,and associates michael schaefer silver,32876 circle de drive millsboro,38,31,5,5,s,0,0,0
S1-404435514,Colline Molitor Sea LLC,"5620 Trinity Road, Unit 103, Raleigh, NC",US,colline molitor sea llc,5620 trinity road unit 103 raleigh nc,us,colline molitor sea,5620 trinity road unit 103 raleigh nc,5620 103,colline llc molitor sea,103 5620 nc raleigh road trinity unit,23,37,4,7,c,0,0,0
S1-252242682,"Aggie E. Nagle, L.C.S.W.","11900 54th Avenue, Plymouth, MN",US,aggie e nagle l c s w,11900 54th avenue plymouth mn,us,aggie e nagle l c s w,11900 54th avenue plymouth mn,11900 54,aggie c e l nagle s w,11900 54th avenue mn plymouth,21,29,7,5,a,0,0,0
S1-981440385,Angad Multitrade Ltd,"Building No. 37/4, First Floor Opp Bharata Mata College, Vazhakkala, Thrikkakara, Ernakulam, Kerala",India,angad multitrade ltd,building no 37 4 first floor opp bharata mata college vazhakkala thrikkakara ernakulam kerala,india,angad multitrade,building no 37 4 first floor opp bharata mata college vazhakkala thrikkakara ernakulam kerala,37 4,angad ltd multitrade,37 4 bharata building college ernakulam first floor kerala mata no opp thrikkakara vazhakkala,20,93,3,14,a,0,0,0
S1-883973644,Global Hovnanian LLC,"4024 39th Avenue, Seattle, WA",US,global hovnanian llc,4024 39th avenue seattle wa,us,global hovnanian,4024 39th avenue seattle wa,4024 39,global hovnanian llc,39th 4024 avenue seattle wa,20,27,3,5,g,0,0,0
S1-17666546,Pacific Learning Laboratories LLC,"4810 Nassau Avenue, Sand Springs, OK",US,pacific learning laboratories llc,4810 nassau avenue sand springs ok,us,pacific learning laboratories,4810 nassau avenue sand springs ok,4810,laboratories learning llc pacific,4810 avenue nassau ok sand springs,33,34,4,6,p,0,0,0
S1-513115995,Thomas Calisa,"126 D Street, Pittsfield, ME",US,thomas calisa,126 d street pittsfield me,us,thomas calisa,126 d street pittsfield me,126,calisa thomas,126 d me pittsfield street,13,26,2,5,t,0,0,0
S1-791217329,Indian Brothers Private Limited,"#17/1, Lower Ground Floor, 1St Cross, Lalbagh Road, Bangalore South, Bangalore, Karnataka",India,indian brothers private limited,17 1 lower ground floor 1st cross lalbagh road bangalore south bangalore karnataka,india,indian brothers,17 1 lower ground floor 1st cross lalbagh road bangalore south bangalore karnataka,17 1 1,brothers indian limited private,1 17 1st bangalore bangalore cross floor ground karnataka lalbagh lower road south,31,82,4,13,i,0,0,0
S1-602913883,Cascade Allied Telecom LLC,"165 Linden Street, Unit 106, Wellesley, MA",US,cascade allied telecom llc,165 linden street unit 106 wellesley ma,us,cascade allied telecom,165 linden street unit 106 wellesley ma,165 106,allied cascade llc telecom,106 165 linden ma street unit wellesley,26,39,4,7,c,0,0,0
S1-401372098,Apex Inc,"108 Richardson Street, Bethany, WV",US,apex inc,108 richardson street bethany wv,us,apex,108 richardson street bethany wv,108,apex inc,108 bethany richardson street wv,8,32,2,5,a,0,0,0
S1-796227187,Foot & Ankle Allied Center LLC,"1216 Preston Avenue, Charlottesville City, VA",US,foot and ankle allied center llc,1216 preston avenue charlottesville city va,us,foot and ankle allied center,1216 preston avenue charlottesville city va,1216,allied and ankle center foot llc,1216 avenue charlottesville city preston va,32,43,6,6,f,0,0,0
S1-945437722,Joeann Hills Park Inc.,"10101 Threave Road, Unit 301, Raleigh, NC",US,joeann hills park inc,10101 threave road unit 301 raleigh nc,us,joeann hills park,10101 threave road unit 301 raleigh nc,10101 301,hills inc joeann park,10101 301 nc raleigh road threave unit,21,38,4,7,j,0,0,0
S1-982210261,Mayur Hospital of Gondal,"C/O Dwarkadhis Enterprise, C.M. Palace, Ist Floor, Shop 3, Vill: Gondal(Mog), Gondal, Rajkot, Gondal, Rajkot, Gujarat",India,mayur hospital of gondal,c o dwarkadhis enterprise c m palace ist floor shop 3 vill gondal mog gondal rajkot gondal rajkot gujarat,india,mayur hospital of gondal,c o dwarkadhis enterprise c m palace ist floor shop 3 vill gondal mog gondal rajkot gondal rajkot gujarat,3,gondal hospital mayur of,3 c c dwarkadhis enterprise floor gondal gondal gondal gujarat ist m mog o palace rajkot rajkot shop vill,24,105,4,19,m,0,0,0
S1-976369483,FUE Pgim Care,"211 Dewey Road, IL, Rockton",US,fue pgim care,211 dewey road il rockton,us,fue pgim care,211 dewey road il rockton,211,care fue pgim,211 dewey il road rockton,13,25,3,5,f,0,0,0
S1-370715897,Primary Care Physicians Inc.,"53 Park Lane, Wellsville, NY",US,primary care physicians inc,53 park lane wellsville ny,us,primary care physicians,53 park lane wellsville ny,53,care inc physicians primary,53 lane ny park wellsville,27,26,4,5,p,0,0,0
S1-27029362,Global Ministries,"74 429, Stockdale, TX",US,global ministries,74 429 stockdale tx,us,global ministries,74 429 stockdale tx,74 429,global ministries,429 74 stockdale tx,17,19,2,4,g,0,0,0
S1-145829425,North Storage Care,"2804, Tower A, Sarova, Samata Nagar, Kandivali East, Mumbai, Maharashtra",India,north storage care,2804 tower a sarova samata nagar kandivali east mumbai maharashtra,india,north storage care,2804 tower a sarova samata nagar kandivali east mumbai maharashtra,2804,care north storage,2804 a east kandivali maharashtra mumbai nagar samata sarova tower,18,66,3,10,n,0,0,0
S1-993527714,George Saul Inc,"Unit UNIT 367, 1400 Great Wolf Drive, WI, Village Of Lake Delton",US,george saul inc,unit unit 367 1400 great wolf drive wi village of lake delton,us,george saul,unit unit 367 1400 great wolf drive wi village of lake delton,367 1400,george inc saul,1400 367 delton drive great lake of unit unit village wi wolf,15,61,3,12,g,0,0,0
S1-965555167,Siobhan's Bike Shop LLC,"1644 Crownsville Road, Fl 0, Crownsville, MD",US,siobhan s bike shop llc,1644 crownsville road fl 0 crownsville md,us,siobhan s bike shop,1644 crownsville road fl 0 crownsville md,1644 0,bike llc s shop siobhan,0 1644 crownsville crownsville fl md road,23,41,5,7,s,0,0,0
