entity_id,business_name,business_address,country,business_name_clean,business_address_clean,country_clean,name_core,address_clean,address_numbers,name_tokens,address_tokens,name_length,address_length,name_word_count,address_word_count,name_first_char,name_missing,address_missing,country_missing
S2-166376419,राम मार्केटिंग प्राइवेट लिमिटेड,"KH NO. -570/13, NEW DELHI, WEST DELHI, Delhi",India,राम मार्केटिंग प्राइवेट लिमिटेड,kh no 570 13 new delhi west delhi delhi,india,राम मार्केटिंग प्राइवेट लिमिटेड,kh no 570 13 new delhi west delhi delhi,570 13,प्राइवेट मार्केटिंग राम लिमिटेड,13 570 delhi delhi delhi kh new no west,31,39,4,9,र,0,0,0
S2-764573417,-- Holloway Peak Inc Seafood,"105 ELM ST, MORGANTON, NC",US,holloway peak inc seafood,105 elm st morganton nc,us,holloway peak seafood,105 elm street morganton nc,105,holloway inc peak seafood,105 elm morganton nc street,25,27,4,5,h,0,0,0
S2-639257739,आदित्य प्रॉपर्टीज एलएलपी,"G-3/571, GULMOHAR COLONY, BHOPAL, Madhya Pradesh",India,आदित्य प्रॉपर्टीज एलएलपी,g 3 571 gulmohar colony bhopal madhya pradesh,india,आदित्य प्रॉपर्टीज एलएलपी,g 3 571 gulmohar colony bhopal madhya pradesh,3 571,आदित्य एलएलपी प्रॉपर्टीज,3 571 bhopal colony g gulmohar madhya pradesh,24,45,3,8,आ,0,0,0
S2-163963287,Summit Inc,"GREENSBORO, NC, 19 1/2 STARDUST TRAIL",US,summit inc,greensboro nc 19 1 2 stardust trail,us,summit,greensboro nc 19 1 2 stardust trail,19 1 2,inc summit,1 19 2 greensboro nc stardust trail,10,35,2,7,s,0,0,0
S2-49942811,Delta Tetlecommunication Inc,"914 PIERPONT AVE, CLEVELAND, OH",US,delta tetlecommunication inc,914 pierpont ave cleveland oh,us,delta tetlecommunication,914 pierpont avenue cleveland oh,914,delta inc tetlecommunication,914 avenue cleveland oh pierpont,28,32,3,5,d,0,0,0
S2-138046867,Lee and Lawson,"1702 Pine Avenue, CITY OF MENOMONIE, WI",US,lee and lawson,1702 pine avenue city of menomonie wi,us,lee and lawson,1702 pine avenue city of menomonie wi,1702,and lawson lee,1702 avenue city menomonie of pine wi,14,37,3,7,l,0,0,0
S2-584977605,SHIVSHAKTI VIDYALAYA VIDYALAYA OVERSEAS CORPORATION | www.shivshakti.com,"H.NO 204 C ROAD HOSHIARPUR, PUNJAB, Punjab",India,shivshakti vidyalaya vidyalaya overseas corporation www shivshakti com,h no 204 c road hoshiarpur punjab punjab,india,shivshakti vidyalaya vidyalaya overseas www shivshakti com,h no 204 c road hoshiarpur punjab punjab,204,com corporation overseas shivshakti shivshakti vidyalaya vidyalaya www,204 c h hoshiarpur no punjab punjab road,70,40,8,8,s,0,0,0
S2-277444929,Shree Infracon Private Ltd,"63/2275/7, ALHIND TOWER, FIRST FLOOR, JAFFERKHAN COLONY, KOZHIKODE, Kerala",India,shree infracon private ltd,63 2275 7 alhind tower first floor jafferkhan colony kozhikode kerala,india,shree infracon,63 2275 7 alhind tower first floor jafferkhan colony kozhikode kerala,63 2275 7,infracon ltd private shree,2275 63 7 alhind colony first floor jafferkhan kerala kozhikode tower,26,69,4,11,s,0,0,0
S2-721031885,Chavira Platinum Chimera LLC,"282 SAXONY DRIVE, FTT MITCHELL, KY",US,chavira platinum chimera llc,282 saxony drive ftt mitchell ky,us,chavira platinum chimera,282 saxony drive ftt mitchell ky,282,chavira chimera llc platinum,282 drive ftt ky mitchell saxony,28,32,4,6,c,0,0,0
S2-508602797,FOUNDATION EXCEL AGENCY PRIVATE  LIMITED,"HN 753 E-1, BHARAT NAGAR, 104/1/1 ERANDWANE, Maharashtra",India,foundation excel agency private limited,hn 753 e 1 bharat nagar 104 1 1 erandwane maharashtra,india,foundation excel agency,hn 753 e 1 bharat nagar 104 1 1 erandwane maharashtra,753 1 104 1 1,agency excel foundation limited private,1 1 1 104 753 bharat e erandwane hn maharashtra nagar,39,53,5,11,f,0,0,0
