source1_entity_id,matched_entity_id,label,name_ratio,name_token_set_ratio,name_token_sort_ratio,core_name_ratio,address_ratio,address_token_set_ratio,address_number_match,country_match,name_exact_match,core_name_exact_match,address_exact_match
S1-941414043,S3-840721667,0,0.10526315789473684,0.10526315789473685,0.10526315789473684,0.10526315789473684,0.1071428571428571,0.07142857142857138,0.0,0.0,0.0,0.0,0.0
S1-594304013,S3-882605073,0,0.05882352941176472,0.058823529411764636,0.05882352941176472,0.11111111111111116,0.125,0.125,0.0,0.0,0.0,0.0,0.0
S1-117085755,S3-719204259,0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.1428571428571429,0.09090909090909094,0.10714285714285708,0.0,0.0,0.0,0.0,0.0
S1-870288035,S2-524962010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S1-630883950,S2-171255805,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.07999999999999996,0.08,0.0,0.0,0.0,0.0,0.0
S1-136452969,S2-783562662,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S1-247776121,S2-651967616,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S1-846115345,S3-730814053,0,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.10526315789473684,0.10526315789473685,0.0,0.0,0.0,0.0,0.0
S1-42918236,S2-174609481,0,0.09999999999999998,0.1,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1,0.0,0.0,0.0,0.0,0.0
S1-697619977,S3-805146789,0,0.09999999999999998,0.1,0.09999999999999998,0.125,0.08955223880597017,0.0597014925373135,0.0,0.0,0.0,0.0,0.0
S1-913995043,S2-619500039,0,0.13793103448275867,0.13793103448275856,0.13793103448275867,0.13793103448275867,0.12244897959183676,0.12244897959183675,0.0,0.0,0.0,0.0,0.0
S1-898383496,S2-76515782,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S1-305166561,S3-888627632,0,0.18181818181818177,0.18181818181818188,0.18181818181818177,0.18181818181818177,0.09999999999999998,0.1,0.0,0.0,0.0,0.0,0.0
S1-798132216,S2-615202978,0,0.14814814814814814,0.14814814814814808,0.14814814814814814,0.14814814814814814,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0
S1-390838754,S3-43104736,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S1-103371642,S2-662595433,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S1-910518963,S3-272559754,0,0.16000000000000003,0.16,0.16000000000000003,0.16000000000000003,0.07894736842105265,0.0789473684210526,0.0,0.0,0.0,0.0,0.0
S1-66645690,S3-233985497,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
